Ngay,Index,Return
16/01/2013,465.25,0.008266
17/01/2013,456.76,-0.018417
18/01/2013,454.16,-0.005709
21/01/2013,447.79,-0.014125
22/01/2013,442.85,-0.011093
23/01/2013,443.37,0.001174
24/01/2013,452.4,0.020162
25/01/2013,468.09,0.034094
28/01/2013,479.6,0.024292
29/01/2013,484.01,0.009153
30/01/2013,487.6,0.00739
31/01/2013,479.79,-0.016147
1/02/2013,483.42,0.007537
4/02/2013,482.38,-0.002154
5/02/2013,477.36,-0.010461
6/02/2013,488.36,0.022782
7/02/2013,490.62,0.004617
8/02/2013,494.03,0.006926
18/02/2013,493.95,-0.000162
19/02/2013,490.78,-0.006438
20/02/2013,494.83,0.008218
21/02/2013,476.73,-0.037264
22/02/2013,477.69,0.002012
25/02/2013,483.69,0.012482
26/02/2013,465.05,-0.039299
27/02/2013,465.72,0.00144
28/02/2013,474.56,0.018803
1/03/2013,477.15,0.005443
4/03/2013,468.74,-0.017783
5/03/2013,462.12,-0.014224
6/03/2013,471.09,0.019225
7/03/2013,466.63,-0.009513
8/03/2013,470.68,0.008642
11/03/2013,476.5,0.012289
12/03/2013,475.34,-0.002437
13/03/2013,473.18,-0.004554
14/03/2013,474.6,0.002996
15/03/2013,481.35,0.014122
18/03/2013,479.13,-0.004623
19/03/2013,480.48,0.002814
20/03/2013,487.04,0.013561
21/03/2013,491.79,0.009706
22/03/2013,489.99,-0.003667
25/03/2013,493.57,0.00728
26/03/2013,489.46,-0.008362
27/03/2013,491.26,0.003671
28/03/2013,490.67,-0.001202
29/03/2013,491.04,0.000754
1/04/2013,505.81,0.029636
2/04/2013,509.43,0.007131
3/04/2013,505.93,-0.006894
4/04/2013,497.35,-0.017104
5/04/2013,502.58,0.010461
8/04/2013,506.66,0.008085
9/04/2013,510.49,0.007531
10/04/2013,496.5,-0.027788
11/04/2013,504.07,0.015132
12/04/2013,494.27,-0.019633
15/04/2013,480.02,-0.029254
16/04/2013,478.07,-0.004071
17/04/2013,483.99,0.012307
18/04/2013,473.21,-0.022525
22/04/2013,468.43,-0.010153
23/04/2013,473.69,0.011166
24/04/2013,472.89,-0.00169
25/04/2013,476.59,0.007794
26/04/2013,474.51,-0.004374
2/05/2013,473.02,-0.003145
3/05/2013,475.24,0.004682
6/05/2013,488.32,0.027151
7/05/2013,485.58,-0.005627
8/05/2013,485.07,-0.001051
9/05/2013,486.22,0.002368
10/05/2013,486.1,-0.000247
13/05/2013,488.93,0.005805
14/05/2013,483.85,-0.010444
15/05/2013,485.97,0.004372
16/05/2013,490.34,0.008952
17/05/2013,487.6,-0.005604
20/05/2013,492.27,0.009532
21/05/2013,500.18,0.015941
22/05/2013,502.23,0.00409
23/05/2013,498.22,-0.008016
24/05/2013,500.24,0.004046
27/05/2013,512.41,0.024037
28/05/2013,516.33,0.007621
29/05/2013,515.09,-0.002404
30/05/2013,521.45,0.012272
31/05/2013,518.39,-0.005886
3/06/2013,517.03,-0.002627
4/06/2013,510.69,-0.012338
5/06/2013,514.64,0.007705
6/06/2013,520.9,0.01209
7/06/2013,527.97,0.013481
10/06/2013,524.56,-0.00648
11/06/2013,521.95,-0.004988
12/06/2013,518.24,-0.007133
13/06/2013,515.09,-0.006097
14/06/2013,509.03,-0.011835
17/06/2013,498.52,-0.020863
18/06/2013,498.88,0.000722
19/06/2013,503.37,0.00896
20/06/2013,499.51,-0.007698
21/06/2013,498.84,-0.001342
24/06/2013,489.74,-0.018411
25/06/2013,473.02,-0.034737
26/06/2013,473.53,0.001078
27/06/2013,482.95,0.019698
28/06/2013,481.13,-0.003776
1/07/2013,480.04,-0.002268
2/07/2013,489.84,0.020209
3/07/2013,487.35,-0.005096
4/07/2013,487.22,-0.000267
5/07/2013,485.66,-0.003207
8/07/2013,482.77,-0.005968
9/07/2013,485.5,0.005639
10/07/2013,484.43,-0.002206
11/07/2013,484.47,8.3e-05
12/07/2013,493.99,0.01946
15/07/2013,494.1,0.000223
16/07/2013,496.22,0.004281
17/07/2013,497.5,0.002576
18/07/2013,496.84,-0.001328
19/07/2013,503.76,0.013832
22/07/2013,506.16,0.004753
23/07/2013,504.29,-0.003701
24/07/2013,494.18,-0.020252
25/07/2013,491.78,-0.004868
26/07/2013,493.93,0.004362
29/07/2013,485.69,-0.016823
30/07/2013,488.54,0.005851
31/07/2013,491.85,0.006752
1/08/2013,492.43,0.001179
2/08/2013,494.66,0.004518
5/08/2013,493.66,-0.002024
6/08/2013,496.56,0.005857
7/08/2013,500.1,0.007104
8/08/2013,498.22,-0.003766
9/08/2013,500.62,0.004806
12/08/2013,499.46,-0.00232
13/08/2013,497.73,-0.00347
14/08/2013,503.57,0.011665
15/08/2013,508.22,0.009192
16/08/2013,507.79,-0.000846
19/08/2013,511.02,0.006341
20/08/2013,504.81,-0.012227
21/08/2013,502.7,-0.004189
22/08/2013,496.12,-0.013176
23/08/2013,486.82,-0.018923
26/08/2013,490.54,0.007612
27/08/2013,485.57,-0.010183
28/08/2013,473.3,-0.025594
29/08/2013,468.55,-0.010087
30/08/2013,472.7,0.008818
3/09/2013,472.17,-0.001122
4/09/2013,471.45,-0.001526
5/09/2013,477.57,0.012898
6/09/2013,480.03,0.005138
9/09/2013,470.16,-0.020776
10/09/2013,474.53,0.009252
11/09/2013,476.4,0.003933
12/09/2013,475.59,-0.001702
13/09/2013,476.42,0.001744
16/09/2013,475.57,-0.001786
17/09/2013,477.73,0.004532
18/09/2013,474.26,-0.00729
19/09/2013,476.09,0.003851
20/09/2013,477.19,0.002308
23/09/2013,479.09,0.003974
24/09/2013,482.82,0.007755
25/09/2013,486.22,0.007017
26/09/2013,485.11,-0.002286
27/09/2013,486.61,0.003087
30/09/2013,492.63,0.012295
1/10/2013,492.24,-0.000792
2/10/2013,494.39,0.004358
3/10/2013,492.3,-0.004236
4/10/2013,497.5,0.010507
7/10/2013,500.47,0.005952
8/10/2013,502.22,0.003491
9/10/2013,500.67,-0.003091
10/10/2013,494.81,-0.011773
11/10/2013,494.53,-0.000566
14/10/2013,493.62,-0.001842
15/10/2013,495.72,0.004245
16/10/2013,498.96,0.006515
17/10/2013,499.59,0.001262
18/10/2013,500.83,0.002479
21/10/2013,501.57,0.001476
22/10/2013,500.57,-0.001996
23/10/2013,504.05,0.006928
24/10/2013,501.17,-0.00573
25/10/2013,500.75,-0.000838
28/10/2013,496.46,-0.008604
29/10/2013,497.08,0.001248
30/10/2013,499.07,0.003995
31/10/2013,497.41,-0.003332
1/11/2013,497.08,-0.000664
4/11/2013,497.07,-2.00E-05
5/11/2013,499.79,0.005457
6/11/2013,502.52,0.005447
7/11/2013,499.86,-0.005307
8/11/2013,498.61,-0.002504
11/11/2013,501.08,0.004942
12/11/2013,497.65,-0.006869
13/11/2013,496.12,-0.003079
14/11/2013,497.85,0.003481
15/11/2013,501.34,0.006986
18/11/2013,506.48,0.0102
19/11/2013,504.71,-0.003501
20/11/2013,505.52,0.001604
21/11/2013,503.54,-0.003924
22/11/2013,505.64,0.004162
25/11/2013,506.46,0.00162
26/11/2013,509.16,0.005317
27/11/2013,508.43,-0.001435
28/11/2013,507.71,-0.001417
29/11/2013,507.78,0.000138
2/12/2013,508.53,0.001476
3/12/2013,511.62,0.006058
4/12/2013,510.88,-0.001447
5/12/2013,510.03,-0.001665
6/12/2013,510.12,0.000176
9/12/2013,511.23,0.002174
10/12/2013,511.6,0.000723
11/12/2013,505.31,-0.012371
12/12/2013,506.92,0.003181
13/12/2013,506.06,-0.001698
16/12/2013,502.04,-0.007975
17/12/2013,505.67,0.007204
18/12/2013,505.25,-0.000831
19/12/2013,506.28,0.002037
20/12/2013,504.45,-0.003621
23/12/2013,508.68,0.00835
24/12/2013,505.62,-0.006034
25/12/2013,504.42,-0.002376
26/12/2013,506.55,0.004214
27/12/2013,506.41,-0.000276
30/12/2013,500.35,-0.012039
31/12/2013,504.63,0.008518
2/01/2014,504.51,-0.000238
3/01/2014,505.37,0.001703
6/01/2014,509.1,0.007354
7/01/2014,510.12,0.002002
8/01/2014,513.9,0.007383
9/01/2014,516.98,0.005975
10/01/2014,518.94,0.003784
13/01/2014,521.11,0.004173
14/01/2014,522.31,0.0023
15/01/2014,526.68,0.008332
16/01/2014,533.54,0.012941
17/01/2014,543.59,0.018661
20/01/2014,553.67,0.018374
21/01/2014,559.91,0.011207
22/01/2014,551.92,-0.014373
23/01/2014,553.55,0.002949
