Ngay,Index,Return
28/11/2013,65.28,0.001379628
29/11/2013,65.19,-0.001379628
2/12/2013,65.13,-0.00092081
3/12/2013,65.64,0.007799994
4/12/2013,66.12,0.007286007
5/12/2013,66.07,-0.000756487
6/12/2013,66.09,0.000302663
9/12/2013,66.12,0.000453823
10/12/2013,66.14,0.000302435
11/12/2013,65.57,-0.008655433
12/12/2013,65.97,0.006081819
13/12/2013,66.22,0.003782439
16/12/2013,66.49,0.004069028
17/12/2013,66.86,0.005549321
18/12/2013,66.95,0.001345191
19/12/2013,67.62,0.009957725
20/12/2013,67.5,-0.001776199
23/12/2013,68.3,0.011782169
24/12/2013,68.12,-0.002638911
25/12/2013,68.21,0.001320326
26/12/2013,68.1,-0.001613969
27/12/2013,67.93,-0.00249945
30/12/2013,66.95,-0.014531691
31/12/2013,67.84,0.013205919
2/01/2014,67.93,0.001325772
3/01/2014,67.97,0.000588668
6/01/2014,68.82,0.012427969
7/01/2014,69.47,0.009400604
8/01/2014,69.99,0.00745737
9/01/2014,71.16,0.016578488
10/01/2014,70.76,-0.005636994
13/01/2014,71.05,0.004089985
14/01/2014,71.69,0.008967413
15/01/2014,72.7,0.013990117
16/01/2014,73.07,0.005076501
17/01/2014,72.79,-0.003839303
20/01/2014,72.5,-0.003992021
21/01/2014,73.56,0.014514838
22/01/2014,73.42,-0.001905022
23/01/2014,73.44,0.000272368
24/01/2014,73.66,0.002991165
27/01/2014,74.22,0.007573745
6/02/2014,75.05,0.011120902
7/02/2014,74.78,-0.003604089
10/02/2014,75.56,0.010376573
11/02/2014,75.55,-0.000132354
12/02/2014,76.75,0.015758698
13/02/2014,77.7,0.012301871
14/02/2014,78.76,0.013549996
17/02/2014,79.64,0.011111225
18/02/2014,81.04,0.017426381
19/02/2014,82.33,0.015792701
20/02/2014,79.51,-0.034852761
21/02/2014,80.17,0.00826658
24/02/2014,81.66,0.018414906
25/02/2014,82.25,0.007199104
26/02/2014,82.79,0.006543892
27/02/2014,82.63,-0.00193447
28/02/2014,83.12,0.005912536
3/03/2014,80.46,-0.03252518
4/03/2014,80.35,-0.001368074
5/03/2014,81.2,0.010523155
6/03/2014,81.81,0.007484238
7/03/2014,82.16,0.00426908
10/03/2014,82.8,0.007759496
11/03/2014,83.64,0.010093813
12/03/2014,83.17,-0.005635169
13/03/2014,84.15,0.011714215
14/03/2014,84.43,0.003321868
17/03/2014,86.31,0.022022678
18/03/2014,87.6,0.014835532
19/03/2014,89.68,0.023466781
20/03/2014,89.7,0.00022299
21/03/2014,90.36,0.007330923
24/03/2014,92.99,0.028690269
25/03/2014,91.12,-0.020314641
26/03/2014,89.79,-0.014703709
27/03/2014,89.55,-0.002676482
28/03/2014,90.04,0.005456888
31/03/2014,89.44,-0.006686007
1/04/2014,86.49,-0.033539209
2/04/2014,85.68,-0.009409374
3/04/2014,87.62,0.022389856
4/04/2014,86.76,-0.009863596
7/04/2014,87.32,0.006433846
8/04/2014,87.82,0.005709733
10/04/2014,87.64,-0.00205175
11/04/2014,87.49,-0.001713014
14/04/2014,86.79,-0.008033093
15/04/2014,84.34,-0.028635159
16/04/2014,82.62,-0.020604466
17/04/2014,83.6,0.011791738
18/04/2014,80.58,-0.03679304
21/04/2014,78.87,-0.021449552
22/04/2014,80.86,0.024918337
23/04/2014,79.9,-0.011943411
24/04/2014,80,0.001250782
25/04/2014,80.58,0.007223845
28/04/2014,79.65,-0.011608443
29/04/2014,79.88,0.002883472
5/05/2014,77.36,-0.032055657
6/05/2014,76.55,-0.010525729
7/05/2014,76.56,0.000130625
8/05/2014,71.66,-0.066142035
9/05/2014,74.19,0.034696658
12/05/2014,70.69,-0.04832525
13/05/2014,69.39,-0.018561355
14/05/2014,71.87,0.035116167
15/05/2014,70.7,-0.016413359
16/05/2014,72.31,0.022516859
19/05/2014,72.64,0.004553302
20/05/2014,73.73,0.014894038
21/05/2014,75.57,0.024649607
22/05/2014,74.57,-0.013321097
23/05/2014,74.58,0.000134093
26/05/2014,74.88,0.004014457
27/05/2014,76.85,0.025968638
28/05/2014,77.18,0.004284886
29/05/2014,76.38,-0.010419474
30/05/2014,75.8,-0.007622589
2/06/2014,74.81,-0.013146727
3/06/2014,74.96,0.002003072
4/06/2014,73.9,-0.01424181
5/06/2014,74.5,0.008086297
6/06/2014,75.85,0.01795858
9/06/2014,75.62,-0.003036907
10/06/2014,74.95,-0.008899574
11/06/2014,75.92,0.01285893
12/06/2014,76.29,0.004861714
13/06/2014,76.68,0.00509905
16/06/2014,76.42,-0.003396476
17/06/2014,76.99,0.007431101
18/06/2014,76.85,-0.001820073
19/06/2014,76.44,-0.005349351
20/06/2014,76.31,-0.001702128
23/06/2014,75.98,-0.004333844
24/06/2014,76.62,0.008387992
25/06/2014,77.75,0.014640412
26/06/2014,77.35,-0.005157974
27/06/2014,77.58,0.002969085
30/06/2014,77.93,0.004501326
1/07/2014,78.08,0.001922954
2/07/2014,78.9,0.010447286
3/07/2014,79.66,0.00958635
4/07/2014,79.44,-0.002765558
7/07/2014,78.92,-0.006567339
8/07/2014,79.36,0.005559782
9/07/2014,79.14,-0.002776027
10/07/2014,78.61,-0.006719518
11/07/2014,78.62,0.000127202
14/07/2014,79.49,0.011005108
15/07/2014,80.23,0.009266282
16/07/2014,80.16,-0.000872872
17/07/2014,80.85,0.008570949
18/07/2014,81.14,0.003580472
21/07/2014,80.67,-0.005809299
22/07/2014,80.25,-0.005219997
23/07/2014,80.34,0.001120867
24/07/2014,80.42,0.000995273
25/07/2014,79.43,-0.012386771
28/07/2014,77.73,-0.021634847
29/07/2014,78.28,0.007050859
30/07/2014,78.28,0
31/07/2014,79.26,0.012441445
1/08/2014,79.01,-0.003159161
4/08/2014,79.53,0.006559882
5/08/2014,80.12,0.007391202
6/08/2014,80.39,0.00336428
7/08/2014,80.78,0.00483962
8/08/2014,80.94,0.001978729
11/08/2014,80.59,-0.004333567
12/08/2014,80.47,-0.001490128
13/08/2014,81.82,0.016637268
14/08/2014,81.95,0.001587593
15/08/2014,82.23,0.003410894
18/08/2014,83.14,0.011005735
19/08/2014,82.66,-0.005790125
20/08/2014,83.06,0.004827429
21/08/2014,83.01,-0.000602156
22/08/2014,83.34,0.003967544
25/08/2014,84.81,0.017484834
26/08/2014,85.69,0.010322672
27/08/2014,85.89,0.002331275
28/08/2014,86.79,0.010424
29/08/2014,87.04,0.002876375
3/09/2014,87.33,0.003326263
4/09/2014,87.5,0.001944747
5/09/2014,88.54,0.011815634
8/09/2014,89.7,0.013016342
9/09/2014,86.4,-0.037483093
10/09/2014,87.86,0.016756963
11/09/2014,88.41,0.006240447
12/09/2014,89.49,0.012141802
15/09/2014,89.41,-0.000894354
16/09/2014,90.15,0.008242417
17/09/2014,90.16,0.00011092
18/09/2014,88.07,-0.023453917
19/09/2014,88.89,0.009267697
22/09/2014,88.22,-0.007565956
23/09/2014,87.75,-0.005341832
24/09/2014,87.71,-0.000455944
25/09/2014,88.65,0.010660115
26/09/2014,88.56,-0.001015744
29/09/2014,88.57,0.000112911
30/09/2014,88.63,0.000677201
1/10/2014,89.73,0.012334761
2/10/2014,90.26,0.005889233
3/10/2014,90.32,0.000664525
6/10/2014,90.93,0.00673106
7/10/2014,91.25,0.003513013
8/10/2014,91.21,-0.000438452
9/10/2014,91.35,0.001533743
10/10/2014,90.45,-0.009901071
13/10/2014,90.42,-0.00033173
14/10/2014,89.52,-0.010003418
15/10/2014,89.57,0.000558378
16/10/2014,87.2,-0.026816112
17/10/2014,87.64,0.005033184
20/10/2014,87.27,-0.004230754
21/10/2014,87,-0.003098643
22/10/2014,88.5,0.017094433
23/10/2014,87.31,-0.013537548
24/10/2014,87.05,-0.002982338
27/10/2014,84.38,-0.03115226
28/10/2014,85.27,0.010492286
29/10/2014,86.6,0.015477123
30/10/2014,86.79,0.002191592
31/10/2014,88.03,0.014186258
3/11/2014,88.87,0.009496962
4/11/2014,88.71,-0.001802005
5/11/2014,88.68,-0.000338238
6/11/2014,89.32,0.007191042
7/11/2014,89.55,0.002571702
10/11/2014,89.51,-0.000446778
11/11/2014,89.86,0.003902553
12/11/2014,91.13,0.014034155
13/11/2014,91.49,0.003942618
14/11/2014,90.74,-0.008231402
17/11/2014,90.87,0.001431639
18/11/2014,90.25,-0.006846316
19/11/2014,89.64,-0.006781948
20/11/2014,90.43,0.008774422
21/11/2014,89.14,-0.014367903
24/11/2014,88.02,-0.012644106
25/11/2014,88.93,0.010285482
26/11/2014,87.54,-0.015753712
27/11/2014,88,0.005240983
28/11/2014,87.42,-0.006612725
1/12/2014,87.44,0.000228754
2/12/2014,87.85,0.004677971
3/12/2014,88.57,0.008162385
4/12/2014,88.75,0.002030229
5/12/2014,88.63,-0.001353028
8/12/2014,87.17,-0.016610166
9/12/2014,83.85,-0.038830747
10/12/2014,85.22,0.01620666
11/12/2014,84.4,-0.009668746
12/12/2014,84.55,0.001775674
15/12/2014,84.24,-0.003673208
16/12/2014,82.64,-0.019176043
17/12/2014,80.61,-0.024871114
18/12/2014,82.7,0.025596891
19/12/2014,81.32,-0.016827613
22/12/2014,82.55,0.015012182
23/12/2014,82.42,-0.001576044
24/12/2014,82.82,0.004841452
25/12/2014,82.05,-0.009340761
26/12/2014,81.14,-0.01115276
29/12/2014,79.64,-0.018659579
30/12/2014,80.91,0.015820947
31/12/2014,82.98,0.025262189
5/01/2015,82.74,-0.002896454
6/01/2015,83.81,0.012849171
7/01/2015,84.18,0.004405031
8/01/2015,84.1,-0.000950796
9/01/2015,85.65,0.018262658
12/01/2015,84.72,-0.010917523
13/01/2015,85.18,0.005414963
14/01/2015,84.86,-0.003763825
15/01/2015,85.88,0.011948133
16/01/2015,85.35,-0.006190524
19/01/2015,85.26,-0.001055038
20/01/2015,84.99,-0.003171809
21/01/2015,84.63,-0.004244789
22/01/2015,85.66,0.012097159
23/01/2015,86.86,0.013911655
26/01/2015,87.01,0.001725427
27/01/2015,86.09,-0.010629794
28/01/2015,87.23,0.013155048
29/01/2015,86.95,-0.003215068
30/01/2015,85.56,-0.016115357
2/02/2015,84.42,-0.013413544
3/02/2015,82.56,-0.022279039
4/02/2015,83.2,0.007722046
5/02/2015,83.17,-0.000360642
6/02/2015,83.87,0.008381275
9/02/2015,83.33,-0.006459353
10/02/2015,83.4,0.000839681
11/02/2015,84.46,0.01262974
12/02/2015,84.72,0.003073652
13/02/2015,85.26,0.00635371
24/02/2015,86.39,0.013166517
25/02/2015,85.66,-0.008485956
26/02/2015,86.06,0.004658755
27/02/2015,85.77,-0.003375432
2/03/2015,85.57,-0.002334541
3/03/2015,86.24,0.007799353
4/03/2015,86.85,0.007048386
5/03/2015,86.81,-0.00046067
